,index,old_request_url,new_request_url,cleaned_old_request,cleaned_new_request
287,287,http://shure.com/,https://www.shure.com/,http://shure.com/,https://www.shure.com/
288,288,https://www.shure.com/,https://www.shure.com/en-US,https://www.shure.com/,https://www.shure.com/en-US
289,289,https://lesaffaires.com/,http://www.lesaffaires.com/,https://lesaffaires.com/,http://www.lesaffaires.com/
290,290,http://www.lesaffaires.com/,https://www.lesaffaires.com/,http://www.lesaffaires.com/,https://www.lesaffaires.com/
291,291,https://nycourts.gov/attorneys/,http://ww2.nycourts.gov/attorneys/,https://nycourts.gov/attorneys/,http://ww2.nycourts.gov/attorneys/
292,292,https://px.ads.linkedin.com/collect?v=2&fmt=js&pid=23191&time=1652901571700&url=https%3A%2F%2Fwww.lesaffaires.com%2F,https://px.ads.linkedin.com/collect?v=2&fmt=js&pid=23191&time=1652901571700&url=https%3A%2F%2Fwww.lesaffaires.com%2F&cookiesTest=true,https://px.ads.linkedin.com/collect,https://px.ads.linkedin.com/collect
293,293,http://ww2.nycourts.gov/attorneys/,http://ww2.nycourts.gov/attorneys,http://ww2.nycourts.gov/attorneys/,http://ww2.nycourts.gov/attorneys
294,294,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1347421587&utmhn=www.lesaffaires.com&utme=8(5!Author)9(5!aucun%20auteur)&utmcs=UTF-8&utmsr=1366x768&utmvp=1354x683&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=LesAffaires.com%20%7C%20Actualit%C3%A9s%20%C3%89conomiques%2C%20Bourse%20et%20Finances&utmhid=96365635&utmr=-&utmp=%2F&utmht=1652901572971&utmac=UA-2094807-1&utmcc=__utma%3D227246080.830327226.1652901572.1652901573.1652901573.1%3B%2B__utmz%3D227246080.1652901573.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1565773009&utmredir=1&utmu=qRAAACAAAAAAAAAAAAABAAAE~,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-2094807-1&cid=830327226.1652901572&jid=1565773009&_v=5.7.2&z=1347421587,https://ssl.google-analytics.com/r/__utm.gif,https://stats.g.doubleclick.net/r/collect
295,295,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-2094807-1&cid=830327226.1652901572&jid=1565773009&_v=5.7.2&z=1347421587,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-2094807-1&cid=830327226.1652901572&jid=1565773009&_v=5.7.2&z=1347421587,https://stats.g.doubleclick.net/r/collect,https://www.google.com/ads/ga-audiences
296,296,https://mc.yandex.com/watch/30044669?wmode=7&page-url=https%3A%2F%2Fwww.rosdistant.ru%2Fda%2F&page-ref=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=pv%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afp%3A4472%3Afu%3A0%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A19315694%3Az%3A-420%3Ai%3A20220518121932%3Aet%3A1652901573%3Ac%3A1%3Arn%3A705462550%3Arqn%3A4%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Ans%3A1652901568042%3Ads%3A0%2C469%2C445%2C0%2C%2C0%2C%2C3488%2C2%2C%2C%2C%2C4495%3Awv%3A2%3Aco%3A0%3Aadb%3A2%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901573%3At%3A%D0%9F%D0%BE%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B7%D0%B0%D1%8F%D0%B2%D0%BA%D1%83%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B2%20%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82%20%7C%20%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82%20-%20%D0%92%D1%8B%D1%81%D1%88%D0%B5%D0%B5%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE&t=gdpr(14)aw(1)rqnt(1)fip(1)ti(2),https://mc.yandex.com/watch/30044669/1?wmode=7&page-url=https%3A%2F%2Fwww.rosdistant.ru%2Fda%2F&page-ref=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=pv%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afp%3A4472%3Afu%3A0%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A19315694%3Az%3A-420%3Ai%3A20220518121932%3Aet%3A1652901573%3Ac%3A1%3Arn%3A705462550%3Arqn%3A4%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Ans%3A1652901568042%3Ads%3A0%2C469%2C445%2C0%2C%2C0%2C%2C3488%2C2%2C%2C%2C%2C4495%3Awv%3A2%3Aco%3A0%3Aadb%3A2%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901573%3At%3A%D0%9F%D0%BE%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B7%D0%B0%D1%8F%D0%B2%D0%BA%D1%83%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B2%20%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82%20%7C%20%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82%20-%20%D0%92%D1%8B%D1%81%D1%88%D0%B5%D0%B5%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE&t=gdpr%2814%29aw%281%29rqnt%281%29fip%281%29ti%282%29,https://mc.yandex.com/watch/30044669,https://mc.yandex.com/watch/30044669/1
